덜쯤,숌냔,휑퍅,품澗턍송(禱),역턍송(禱),離멕송(禱),離됴송(禱),澗턍송(禱),냥슥좆(믈),냥슥쏜띨(禱),朗딨(禱),朗딨류(%),엇송(禱),뻣癎쪽(%),A믈직繫懇令(禱),B믈직繫懇令(禱),悧懇令(禱),A믈직繫믈굶(믈),B믈직繫믈굶(믈),悧믈굶(믈),懇簞쪽,懇씐쪽,懇饋쪽,懇君쪽,
002102.SZ,ST박르,20070321,14.9,15,15.26,14.75,14.9,786956,11729620.8,0,0,14.9051,3.279,357600000,,1693730054.2,24000000,0,113673158,49.5058,8.3731,5.0658,9.9195,
002102.SZ,ST박르,20070322,14.9,14.85,15.18,14.75,14.77,914199,13668637.4,-0.13,-0.8725,14.9515,3.8092,354480000,,1678952543.66,24000000,0,113673158,49.0739,8.3,5.0216,9.833,
002102.SZ,ST박르,20070323,14.77,14.75,14.82,14.45,14.71,631006,9225634.9,-0.06,-0.4062,14.6205,2.6292,353040000,,1672132154.18,24000000,0,113673158,48.8745,8.2663,5.0012,9.793,
002102.SZ,ST박르,20070326,14.71,14.72,15.16,14.72,15.16,891392,13391242.5,0.45,3.0591,15.0228,3.7141,363840000,,1723285075.28,24000000,0,113673158,50.3697,8.5192,5.1542,10.0926,
002102.SZ,ST박르,20070327,15.16,15.23,15.88,15,15.83,2053303,32114436.2,0.67,4.4195,15.6404,8.5554,379920000,,1799446091.14,24000000,0,113673158,52.5958,8.8957,5.382,10.5386,
002102.SZ,ST박르,20070328,15.83,15.3,15.47,14.7,15.16,1506666,22776714.4,-0.67,-4.2325,15.1173,6.2778,363840000,,1723285075.28,24000000,0,113673158,52.236,8.5192,5.1542,10.0926,
002102.SZ,ST박르,20070329,15.16,14.88,15,14.44,14.5,3773434,55022223.8,-0.66,-4.3536,14.5815,12.5781,435000000,,1648260791,30000000,0,113673158,49.9619,8.1483,4.9298,9.6532,
002102.SZ,ST박르,20070330,14.5,14.69,14.85,14.01,14.82,2067138,30122194,0.32,2.2069,14.5719,6.8905,444600000,,1684636201.56,30000000,0,113673158,51.0645,8.3281,5.0386,9.8663,
002102.SZ,ST박르,20070402,14.82,14.82,15.4,14.82,15.3,1910559,28883746.3,0.48,3.2389,15.118,6.3685,459000000,,1739199317.4,30000000,0,113673158,52.7184,8.5978,5.2018,10.1858,
002102.SZ,ST박르,20070403,15.3,15.01,15.28,14.91,15.11,1202541,18090044.7,-0.19,-1.2418,15.0432,4.0085,453300000,,1717601417.38,30000000,0,113673158,52.0638,8.4911,5.1372,10.0593,
002102.SZ,ST박르,20070404,15.11,15.05,15.8,15,15.48,1160508,17848210.1,0.37,2.4487,15.3797,3.8684,464400000,,1759660485.84,30000000,0,113673158,53.3386,8.699,5.263,10.3056,
002102.SZ,ST박르,20070405,15.48,15.48,15.85,15.3,15.65,762021,11939031.7,0.17,1.0982,15.6676,2.5401,469500000,,1778984922.7,30000000,0,113673158,53.9244,8.7945,5.3208,10.4188,
002102.SZ,ST박르,20070406,15.65,15.52,15.9,15.28,15.68,759208,11904665,0.03,0.1917,15.6804,2.5307,470400000,,1782395117.44,30000000,0,113673158,54.0278,8.8114,5.331,10.4388,
002102.SZ,ST박르,20070409,15.68,15.81,16.18,15.68,15.8,996481,15771206.4,0.12,0.7653,15.8269,3.3216,474000000,,1796035896.4,30000000,0,113673158,54.4413,8.8788,5.3718,10.5187,
002102.SZ,ST박르,20070410,15.8,15.8,16.84,15.72,16.5,1680989,27656359,0.7,4.4304,16.4524,5.6033,495000000,,1875607107,30000000,0,113673158,56.8532,9.2722,5.6097,10.9847,
002102.SZ,ST박르,20070411,16.5,16.5,16.67,16.05,16.65,1473720,24259239,0.15,0.9091,16.4612,4.9124,499500000,,1892658080.7,30000000,0,113673158,57.3701,9.3565,5.6607,11.0846,
002102.SZ,ST박르,20070412,16.65,16.69,16.7,16.35,16.5,859660,14164664.5,-0.15,-0.9009,16.4771,2.8655,495000000,,1875607107,30000000,0,113673158,56.8532,9.2722,5.6097,10.9847,
002102.SZ,ST박르,20070413,16.5,16.4,17.3,16.15,16.71,1781577,29730996.2,0.21,1.2727,16.688,5.9386,501300000,,1899478470.18,30000000,0,113673158,57.5768,9.3902,5.6811,11.1245,
