ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
603848.SH,บรฬซฬซ,20180306,17.07,17.1,17.86,17.09,17.79,5655292,99474308,0.72,4.2179,17.5896,13.7934,729390000,,7133790000,41000000,0,401000000,46.9401,9.529,6.411,21.5097,
603848.SH,บรฬซฬซ,20180307,17.79,18.07,19.22,17.4,18.59,7547202,136792400,0.8,4.4969,18.1249,18.4078,762190000,,7454590000,41000000,0,401000000,49.0509,9.9575,6.6993,22.477,
603848.SH,บรฬซฬซ,20180308,18.59,18.85,19.39,18.5,18.61,7077022,133215830,0.02,0.1076,18.8237,17.261,763010000,,7462610000,41000000,0,401000000,36.2625,9.9682,6.7066,22.5011,
603848.SH,บรฬซฬซ,20180309,18.61,18.53,18.8,18.18,18.56,4745657,87655634,-0.05,-0.2687,18.4707,11.5748,760960000,,7442560000,41000000,0,401000000,36.1651,9.9414,6.6885,22.4407,
603848.SH,บรฬซฬซ,20180312,18.56,18.67,18.9,18.59,18.71,4383968,82006437,0.15,0.8082,18.706,10.6926,767110000,,7502710000,41000000,0,401000000,36.4573,10.0217,6.7426,22.6221,
603848.SH,บรฬซฬซ,20180313,18.71,18.65,18.7,18.01,18.06,4290098,78463356,-0.65,-3.4741,18.2894,10.4637,740460000,,7242060000,41000000,0,401000000,35.1908,9.6736,6.5083,21.8361,
603848.SH,บรฬซฬซ,20180314,18.06,18.06,18.55,17.9,18.38,3121449,57009676,0.32,1.7719,18.2638,7.6133,753580000,,7370380000,41000000,0,401000000,35.8143,9.845,6.6237,22.2231,
603848.SH,บรฬซฬซ,20180315,18.38,18,18.09,16.85,17.33,4282517,74784180,-1.05,-5.7127,17.4627,10.4452,710530000,,6949330000,41000000,0,401000000,33.7683,9.2826,6.2453,20.9535,
603848.SH,บรฬซฬซ,20180316,17.33,17.32,17.65,17.22,17.26,2037274,35585865,-0.07,-0.4039,17.4674,4.969,707660000,,6921260000,41000000,0,401000000,33.6319,9.2451,6.22,20.8689,
603848.SH,บรฬซฬซ,20180319,17.26,17.1,18.65,17.02,18.23,4522070,81256439,0.97,5.6199,17.9689,11.0294,747430000,,7310230000,41000000,0,401000000,35.522,9.7646,6.5696,22.0417,
603848.SH,บรฬซฬซ,20180320,18.23,17.9,18.35,17.51,18.17,3956474,71129711,-0.06,-0.3291,17.9781,9.6499,744970000,,7286170000,41000000,0,401000000,35.4051,9.7325,6.548,21.9692,
603848.SH,บรฬซฬซ,20180321,18.17,18.13,18.82,18.02,18.42,5757725,106284252,0.25,1.3759,18.4594,14.0432,755220000,,7386420000,41000000,0,401000000,35.8923,9.8664,6.6381,22.2714,
603848.SH,บรฬซฬซ,20180322,18.42,18.74,18.75,18.07,18.51,4203509,77539629,0.09,0.4886,18.4464,10.2525,758910000,,7422510000,41000000,0,401000000,36.0676,9.9146,6.6705,22.3802,
603848.SH,บรฬซฬซ,20180323,18.51,16.9,17.8,16.66,16.66,4327619,74321001,-1.85,-9.9946,17.1736,10.5552,683060000,,6680660000,41000000,0,401000000,32.4628,8.9237,6.0038,20.1434,
603848.SH,บรฬซฬซ,20180326,16.66,16.32,16.92,15.2,16.85,3174098,51764889,0.19,1.1405,16.3085,7.7417,690850000,,6756850000,41000000,0,401000000,32.833,9.0255,6.0723,20.3732,
603848.SH,บรฬซฬซ,20180327,16.85,17.19,17.47,17.03,17.13,2878050,49558788,0.28,1.6617,17.2196,7.0196,702330000,,6869130000,41000000,0,401000000,33.3786,9.1754,6.1732,20.7117,
603848.SH,บรฬซฬซ,20180328,17.13,16.9,17.25,16.8,16.88,2135764,36407011,-0.25,-1.4594,17.0464,5.2092,692080000,,6768880000,41000000,0,401000000,32.8915,9.0415,6.0831,20.4094,
603848.SH,บรฬซฬซ,20180329,16.88,16.95,17.47,16.95,17.35,3009950,52006261,0.47,2.7844,17.2781,7.3413,711350000,,6957350000,41000000,0,401000000,33.8073,9.2933,6.2525,20.9777,
603848.SH,บรฬซฬซ,20180330,17.35,17.5,17.95,17.3,17.82,3675216,64900205,0.47,2.7089,17.6589,8.9639,730620000,,7145820000,41000000,0,401000000,34.7231,9.545,6.4219,21.546,
603848.SH,บรฬซฬซ,20180402,17.82,17.86,18,17.48,17.67,3447340,61149445,-0.15,-0.8418,17.7382,8.4081,724470000,,7085670000,41000000,0,401000000,34.4308,9.4647,6.3678,21.3646,
603848.SH,บรฬซฬซ,20180403,17.67,17.38,17.99,17.21,17.89,3526953,61714197,0.22,1.245,17.4979,8.6023,733490000,,7173890000,41000000,0,401000000,34.8595,9.5825,6.4471,21.6306,
603848.SH,บรฬซฬซ,20180404,17.89,18.12,18.52,17.6,17.68,4922373,89304891,-0.21,-1.1738,18.1427,12.0058,724880000,,7089680000,41000000,0,401000000,34.4503,9.47,6.3714,21.3767,
603848.SH,บรฬซฬซ,20180409,17.68,17.4,18.89,17.2,18.44,7011606,126967796,0.76,4.2986,18.1082,17.1015,756040000,,7394440000,41000000,0,401000000,35.9312,9.8771,6.6453,22.2956,
603848.SH,บรฬซฬซ,20180410,18.44,18.22,18.75,17.59,18.39,6171128,112712351,-0.05,-0.2711,18.2645,15.0515,753990000,,7374390000,41000000,0,401000000,35.8338,9.8503,6.6273,22.2351,
603848.SH,บรฬซฬซ,20180411,18.39,18.5,20.15,18.23,19.62,12546160,242216836,1.23,6.6884,19.3061,30.6004,804420000,,7867620000,41000000,0,401000000,38.2305,10.5092,7.0705,23.7223,
603848.SH,บรฬซฬซ,20180412,19.62,19.26,20.2,18.95,19.92,11460591,223385671,0.3,1.5291,19.4916,27.9527,816720000,,7987920000,41000000,0,401000000,38.8151,10.6699,7.1786,24.0851,
