測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600660.SH,腦珓產薛,20070314,444.9848,442.0213,442.4772,421.7325,434.0426,4125410,78615465,-10.9422,-2.459,19.0564,0.9724,8077767999.84,,19068429880.64,424252521,0,1001493166,31.0581,7.1483,4.8463,-8819.835,
600660.SH,腦珓產薛,20070315,434.0426,430.8511,451.8237,430.3951,441.3374,6432232,125415206,7.2948,1.6807,19.4979,1.3942,8932085815.84,,19388907693.76,461368069,0,1001493166,31.5801,7.2684,4.9278,-8968.0674,
600660.SH,腦珓產薛,20070316,441.3374,442.2492,445.8967,433.1307,440.1976,2955276,57163550,-1.1398,-0.2583,19.3429,0.6405,8909017412.39,,19338833035.46,461368069,0,1001493166,31.4985,7.2497,4.9151,-8944.9063,
600660.SH,腦珓產薛,20070319,440.1976,428.5714,437.69,418.0851,424.2401,5211631,97681385,-15.9574,-3.6251,18.743,1.1296,8586059764.09,,18637787819.26,461368069,0,1001493166,30.3567,6.9868,4.7369,-8620.6475,
600660.SH,腦珓產薛,20070320,424.2401,424.2401,432.9027,411.4742,416.9453,4206717,77188605,-7.2948,-1.7195,18.3489,0.9118,8438421982.01,,18317310006.14,461368069,0,1001493166,29.8347,6.8667,4.6554,-8472.415,
600660.SH,腦珓產薛,20070321,416.9453,418.3131,432.4468,412.614,426.0638,6266717,117010969,9.1185,2.187,18.6718,1.3583,8622969209.61,,18717907272.54,461368069,0,1001493166,30.4872,7.0169,4.7572,-8657.7051,
600660.SH,腦珓產薛,20070322,426.0638,427.2037,433.8146,426.2918,427.2037,5528940,104490423,1.1398,0.2675,18.8988,1.1984,8646037613.06,,18767981930.84,461368069,0,1001493166,30.5687,7.0357,4.77,-8680.8672,
600660.SH,腦珓產薛,20070323,427.2037,427.4316,430.8511,408.2827,420.8207,6353316,115360571,-6.383,-1.4941,18.1575,1.3771,8516854553.74,,18487563844.36,461368069,0,1001493166,30.112,6.9305,4.6987,-8551.1631,
600660.SH,腦珓產薛,20070326,420.8207,430.1672,446.3526,427.6596,441.1094,5767711,110201884,20.2888,4.8212,19.1067,1.2501,8927472135.15,,19378892762.1,461368069,0,1001493166,31.5638,7.2647,4.9252,-8963.4346,
600660.SH,腦珓產薛,20070327,441.1094,441.3374,455.4711,441.3374,446.8085,4913320,96766522,5.6991,1.292,19.6947,1.0649,9042814152.4,,19629266053.6,461368069,0,1001493166,31.9716,7.3585,4.9889,-9079.2412,
600660.SH,腦珓產薛,20070328,446.8085,450,450,424.0122,435.8663,5140332,98015528,-10.9422,-2.449,19.0679,1.1141,8821357479.28,,19148549333.92,461368069,0,1001493166,31.1886,7.1783,4.8667,-8856.8926,
600660.SH,腦珓產薛,20070329,435.8663,436.0942,440.8815,428.5714,431.7629,5027401,95456747,-4.1033,-0.9414,18.9873,1.0897,8738311226.86,,18968280564.04,461368069,0,1001493166,30.895,7.1107,4.8209,-8773.5117,
600660.SH,腦珓產薛,20070330,431.7629,433.1307,434.9544,421.9605,428.5714,2720270,51328332,-3.1915,-0.7392,18.8688,0.5896,8673719697.2,,18828071520.8,461368069,0,1001493166,30.6666,7.0582,4.7852,-8708.6602,
600660.SH,腦珓產薛,20070402,428.5714,428.5714,434.9544,423.5562,433.1307,4153913,77828698,4.5593,1.0638,18.7362,0.9003,8765993311,,19028370154,461368069,0,1001493166,30.9929,7.1333,4.8361,-8801.3057,
